cd_cliente,cd_pedido,cd_produto,categoria_produto,qt_vendida,receita_bruta
168,1005910,100367,Teclado,1,45.72
168,1005910,100497,Bateria,2,147.9
168,985894,101248,Tela,1,695.9
168,1007445,100367,Teclado,1,57.18
181,955125,100683,Bateria,1,142.5
183,968048,100820,Teclado,1,68.06
183,970173,121465,Tela,1,505.83
183,1016650,100728,Teclado,1,85.95
183,1018149,121465,Tela,1,367.73
183,1015377,121465,Tela,1,388.36
183,888512,100097,Tela,1,596.57
183,888512,100820,Teclado,2,65.98
183,905465,100097,Tela,1,620.73
183,909686,100820,Teclado,1,74.11
183,866376,100820,Teclado,1,73.36
183,868678,100055,Tela,1,487.89
183,858635,101000,Teclado,1,85.1
183,952392,100286,Teclado,1,68.07
183,952392,100097,Tela,2,497.39
183,932029,100367,Teclado,1,59.32
183,932029,100820,Teclado,2,66.01
183,916685,101323,Teclado,1,84.95
183,912183,100681,Bateria,1,162.87
183,924330,100288,Teclado,1,61.79
193,861371,100097,Tela,1,619.93
193,855904,101000,Teclado,1,85.1
193,857769,100820,Teclado,1,69.09
193,858596,100497,Bateria,1,126.75
193,877339,100817,Teclado,1,91.58
193,897887,100507,Bateria,1,196.15
193,887113,100743,Bateria,1,139.98
211,1012645,100957,Cooler,1,451.2
211,1012645,121089,Cooler,2,353.66
211,1021568,124784,Tela,1,1350.0
211,974798,100059,Tela,2,1168.8
211,974798,100097,Tela,3,1181.47
211,974798,100957,Cooler,4,271.17
211,974798,121465,Tela,5,823.91
211,1001981,124916,Fonte,1,310.32
211,1001981,126325,,2,218.15
211,1001981,121089,Cooler,3,351.96
222,1023875,100710,Teclado,1,62.75
222,1023875,100692,Bateria,2,139.64
222,956154,124784,Tela,1,565.28
222,956154,100957,Cooler,2,31.67
253,1006594,124784,Tela,1,384.91
253,1011654,100101,Tela,1,342.95
259,874461,100289,Teclado,1,68.5
259,867098,100587,Bateria,1,172.87
259,852906,100588,Bateria,1,155.66
259,858684,100097,Tela,1,568.68
259,896519,100101,Tela,1,394.65
259,927111,100759,Teclado,1,110.51
259,938302,100759,Teclado,1,111.5
259,913224,100635,Teclado,1,88.24
259,946005,100820,Teclado,1,81.5
259,1012628,100289,Teclado,1,60.5
259,1018319,100288,Teclado,1,61.5
259,1024452,100055,Tela,1,402.5
271,899379,100059,Tela,1,565.43
271,911274,100681,Bateria,1,157.75
271,911274,100773,Teclado,2,63.52
273,1027222,128379,Tela,1,400.45
273,1015686,100810,Teclado,1,59.92
273,861745,100055,Tela,1,483.43
273,953866,101000,Teclado,1,84.0
273,913159,101000,Teclado,1,87.65
273,919688,101000,Teclado,1,86.66
273,927504,100097,Tela,1,575.0
291,960750,100367,Teclado,1,43.38
291,960750,100497,Bateria,2,114.55
291,858157,100720,Teclado,1,55.02
296,957601,100063,Tela,1,261.16
305,994954,100101,Tela,1,315.0
305,1006621,100689,Bateria,1,205.43
305,1015714,100839,Bateria,1,161.59
305,1026876,100097,Tela,1,399.89
305,1019121,121465,Tela,1,368.52
305,962001,100820,Teclado,1,66.3
305,955830,100820,Teclado,1,91.16
305,937834,100505,Bateria,1,156.96
305,937834,101018,Cooler,2,48.0
305,937834,101019,Cooler,3,38.0
305,930758,100215,Tela,1,625.0
305,852812,100687,Bateria,1,130.83
305,852812,101018,Cooler,2,114.21
305,853508,101515,Cooler,1,107.28
305,876769,121293,Teclado,1,126.89
305,900489,100763,Bateria,1,260.69
305,887147,101000,Teclado,1,110.11
305,891920,100840,Bateria,1,214.84
305,881115,100059,Tela,1,548.7
309,923561,100497,Bateria,1,255.03
309,923561,100707,Bateria,2,116.92
309,923561,100820,Teclado,3,128.48
309,923561,100957,Cooler,4,286.05
314,916135,100097,Tela,1,604.62
314,947363,100681,Bateria,1,154.25
314,947363,100588,Bateria,2,131.32
314,853409,100055,Tela,1,482.0
314,911790,121465,Tela,1,700.33
360,960080,100774,Bateria,1,270.28
363,960140,100820,Teclado,1,55.57
363,960140,100756,Fonte,2,124.51
363,960140,100519,Fonte,3,127.81
363,960140,100516,Fonte,4,73.59
363,954836,100810,Teclado,1,63.03
363,954836,101108,Fonte,2,91.17
363,944256,100288,Teclado,1,60.66
363,944940,100497,Bateria,1,124.28
363,914376,100719,Teclado,1,65.44
363,914376,101254,Fonte,2,122.92
363,924529,101117,Fonte,1,180.92
363,924529,101109,Fonte,2,74.47
363,924529,101112,Fonte,3,109.81
363,920377,100587,Bateria,1,172.24
363,920377,100497,Bateria,2,131.42
363,920377,101108,Fonte,3,183.42
363,926873,100765,Bateria,1,232.66
363,937777,100288,Teclado,1,69.83
363,934712,100097,Tela,1,549.69
363,934712,101108,Fonte,2,168.45
363,892838,100678,Bateria,1,159.69
363,894028,100323,Teclado,1,70.8
363,884435,121465,Tela,1,701.25
363,885362,101112,Fonte,1,219.76
363,854488,100745,Bateria,1,324.03
363,854488,101108,Fonte,2,163.47
363,860425,100501,Bateria,1,134.79
363,860425,101111,Fonte,2,193.72
363,1031024,100681,Bateria,1,140.4
363,1031024,101108,Fonte,2,232.76
363,1006993,100515,Fonte,1,274.28
363,994223,100515,Fonte,1,200.38
363,994223,100516,Fonte,2,74.24
363,994223,100937,Fonte,3,66.52
363,994223,100519,Fonte,4,64.46
363,994223,100756,Fonte,5,55.61
372,1000857,100503,Bateria,1,168.73
372,856197,100820,Teclado,1,68.99
372,867077,100820,Teclado,1,74.99
372,888486,100720,Teclado,1,66.99
372,880002,101000,Teclado,1,89.25
372,892285,100500,Bateria,1,150.93
372,897105,101112,Fonte,1,113.52
372,935535,100097,Tela,1,544.79
372,937428,100763,Bateria,1,234.72
372,924406,100701,Bateria,1,163.34
372,915815,101000,Teclado,1,89.22
375,951398,100284,Teclado,2,66.34
375,951398,100311,Teclado,3,73.01
375,922113,100372,Teclado,1,94.69
375,934532,100367,Teclado,1,57.89
375,934532,100588,Bateria,2,148.73
375,934532,121293,Teclado,3,78.88
375,927469,100497,Bateria,1,145.0
375,897967,100681,Bateria,1,178.08
375,897967,100499,Bateria,2,155.22
375,894099,100499,Bateria,1,126.98
375,894099,100286,Teclado,2,72.51
375,894099,100497,Bateria,3,132.41
375,894099,100742,Bateria,4,156.72
375,907402,101001,Teclado,1,84.27
375,907402,100501,Bateria,2,151.13
375,971297,100742,Bateria,1,148.54
375,971297,101000,Teclado,2,135.52
375,971297,100719,Teclado,3,61.41
375,1024803,126920,Bateria,1,149.8
375,1024803,101018,Cooler,2,18.31
379,1025189,100097,Tela,1,337.13
379,1025189,124059,Memoria,2,356.09
379,1025189,101345,Teclado,3,80.04
379,1025189,124784,Tela,4,368.24
379,1026830,100063,Tela,1,232.47
379,1027392,100097,Tela,1,351.18
379,1027392,126935,Teclado,2,75.69
379,1028183,101323,Teclado,1,111.67
379,1028183,126924,Bateria,2,257.12
379,1028183,100515,Fonte,3,49.01
379,1030005,101345,Teclado,1,83.38
379,1030005,100097,Tela,2,351.18
379,1030005,100333,Teclado,3,58.08
379,1018409,101345,Teclado,1,83.38
379,1018818,100059,Tela,1,386.44
379,1018818,100333,Teclado,2,58.08
379,1021543,124916,Fonte,1,156.63
379,1021543,100369,Teclado,2,61.49
379,1021543,125430,Placa,3,354.46
379,1021543,101095,Memoria,4,179.9
379,1020360,121465,Tela,1,352.18
379,1024237,100097,Tela,1,331.18
379,1022749,100810,Teclado,1,47.58
379,1022749,101000,Teclado,2,66.91
379,1007507,101345,Teclado,1,95.49
379,1007507,100810,Teclado,2,48.67
379,1008822,100059,Tela,1,353.19
379,1012063,100097,Tela,1,341.26
379,1012063,126675,Tela,2,510.75
379,1011343,126675,Tela,1,526.55
379,1011343,120388,Teclado,2,57.48
379,1011343,126924,Bateria,3,310.35
379,1013557,100059,Tela,1,386.44
379,1013557,100367,Teclado,2,39.78
379,1013557,121465,Tela,3,376.81
379,1013557,101344,Teclado,4,84.12
379,1013557,101262,Bateria,5,323.18
379,1015063,126924,Bateria,1,281.23
379,1015063,101248,Tela,2,633.64
379,1016392,100842,Bateria,1,145.02
379,1016392,100839,Bateria,2,151.06
379,1016392,100215,Tela,3,464.44
379,1016392,100999,Teclado,4,85.46
379,969225,100840,Bateria,1,103.9
379,967882,124943,Placa,1,424.0
379,967882,126885,Cooler,2,325.0
379,967882,123112,Placa,3,27.49
379,981904,121465,Tela,1,409.12
379,981904,100623,Bateria,2,232.13
379,974846,100501,Bateria,1,139.25
379,974846,100284,Teclado,2,55.52
379,1000492,120381,SSD,1,279.43
379,1000492,100820,Teclado,2,49.64
379,1002522,121518,Tela,1,939.9
379,1002522,121604,Cooler,2,35.72
379,995569,100215,Tela,1,537.74
379,995569,120381,SSD,2,279.43
379,1004581,100055,Tela,1,388.81
379,1003934,100059,Tela,1,353.19
379,1003934,101124,Cooler,2,39.32
379,1003934,122807,Memoria,3,419.1
379,993909,100097,Tela,1,399.09
379,991449,121465,Tela,1,417.47
379,990666,121465,Tela,1,417.47
379,990666,100097,Tela,2,399.09
379,989133,101262,Bateria,1,676.82
379,989133,100763,Bateria,2,224.56
379,988261,100097,Tela,1,412.09
379,988261,101118,Fonte,2,63.56
379,984572,101262,Bateria,1,682.41
379,984572,124831,,2,0.01
379,984572,121603,Cooler,3,0.01
379,984572,121604,Cooler,4,0.01
379,984572,124830,,5,0.01
379,984572,124832,,6,0.01
379,1031515,126924,Bateria,1,267.83
379,880209,100369,Teclado,1,69.63
379,880209,100998,Teclado,2,85.97
379,888868,100820,Teclado,1,64.14
379,867008,101000,Teclado,1,80.72
379,867008,101001,Teclado,2,76.92
379,867008,121293,Teclado,3,96.56
379,875534,100501,Bateria,1,131.12
379,877284,101000,Teclado,1,93.0
379,856011,100820,Teclado,1,65.71
379,856011,101000,Teclado,2,83.5
379,859290,100810,Teclado,1,57.15
379,859290,101323,Teclado,2,71.05
379,859290,100763,Bateria,3,229.3
379,859290,121678,Cooler,4,42.52
379,862563,101000,Teclado,1,90.96
379,929933,100507,Bateria,1,170.56
379,933021,101344,Teclado,1,83.84
379,933021,100820,Teclado,2,58.97
379,933021,101000,Teclado,3,71.88
379,933094,101000,Teclado,1,71.88
379,912883,124401,SSD,1,608.9
379,916104,101000,Teclado,1,155.46
379,916104,100820,Teclado,2,62.62
379,916104,121293,Teclado,3,95.0
379,917212,101293,Placa,1,405.0
379,917212,101000,Teclado,2,77.73
379,917212,100369,Teclado,3,66.8
379,951300,122807,Memoria,1,995.0
379,940991,101000,Teclado,1,67.88
379,944266,101221,Fonte,1,20.75
379,945814,122807,Memoria,1,797.52
379,956362,101147,Cooler,1,28.0
379,956362,101124,Cooler,2,19.0
379,956362,101344,Teclado,3,83.0
379,961986,100740,Teclado,1,70.0
379,966004,100761,Bateria,1,237.12
379,966004,101262,Bateria,2,299.0
379,966004,101000,Teclado,3,63.33
398,924340,100760,Bateria,1,189.32
440,863243,100097,Tela,1,629.92
440,953641,100497,Bateria,1,136.63
440,1016847,100980,Bateria,1,241.89
443,877713,121465,Tela,1,716.13
444,894030,100681,Bateria,1,160.02
444,894030,100838,Bateria,2,208.02
444,938523,100215,Tela,1,637.18
444,938523,101344,Teclado,2,86.68
444,938523,101000,Teclado,3,77.05
444,938523,101321,Cooler,4,18.27
473,1031497,126935,Teclado,1,86.95
473,1009486,126927,Bateria,1,132.06
473,1006000,126919,Bateria,1,249.93
473,1003655,126922,Bateria,1,152.35
473,984860,100701,Bateria,1,158.75
473,991580,100097,Tela,1,399.09
473,982299,100332,Teclado,1,90.15
473,974221,100097,Tela,1,399.09
473,929884,121465,Tela,1,598.99
473,927406,100059,Tela,1,528.65
473,926909,100745,Bateria,1,277.98
473,926357,100101,Tela,1,355.7
473,919156,101000,Teclado,1,87.75
473,924973,100097,Tela,1,575.0
473,924863,100097,Tela,1,575.0
473,923149,100745,Bateria,1,285.96
473,948951,100507,Bateria,1,176.74
473,948951,100506,Bateria,2,289.3
473,949111,100810,Teclado,1,49.92
473,967017,100811,Bateria,1,297.96
473,967017,100516,Fonte,2,71.37
473,959493,101262,Bateria,1,305.0
473,896981,100820,Teclado,1,62.62
473,896981,100743,Bateria,2,132.73
473,904233,100724,Teclado,1,76.31
473,887986,100059,Tela,1,533.89
473,886312,100097,Tela,1,603.8
473,891451,121295,Bateria,1,305.15
473,880097,100820,Teclado,1,92.59
473,875346,100101,Tela,1,414.11
473,873516,100097,Tela,1,620.14
473,869016,100288,Teclado,1,49.88
473,869016,101267,Bateria,2,282.42
473,863000,100286,Teclado,1,77.84
473,861888,100507,Bateria,1,213.94
480,914855,100742,Bateria,1,176.39
480,923768,100705,Bateria,1,236.95
480,924514,100698,Bateria,1,165.0
480,921532,101262,Bateria,1,443.75
480,921033,101262,Bateria,1,425.91
480,921033,100698,Bateria,2,144.28
480,919243,100588,Bateria,1,161.16
480,919888,100707,Bateria,1,141.93
480,926327,100097,Tela,1,597.61
480,927310,100745,Bateria,1,302.33
480,927310,121293,Teclado,2,125.92
480,928719,100745,Bateria,1,299.09
480,929168,100745,Bateria,1,298.37
480,933838,100745,Bateria,1,289.99
480,958222,122826,Tela,1,661.18
480,956236,100689,Bateria,1,201.43
480,955724,100097,Tela,1,509.88
480,955561,101138,Cooler,1,490.0
480,954062,101262,Bateria,1,345.96
480,965885,124784,Tela,1,481.39
480,961587,100844,Bateria,1,149.21
480,961589,100588,Bateria,1,144.46
480,961599,101262,Bateria,1,331.84
480,961603,101324,Teclado,1,96.49
480,962866,101262,Bateria,1,333.82
480,944054,101262,Bateria,1,354.18
480,941810,100773,Teclado,1,76.17
480,942750,101262,Bateria,1,354.19
480,942946,100689,Bateria,1,202.14
480,948953,100740,Teclado,1,100.27
480,950241,101262,Bateria,1,347.27
480,912149,100215,Tela,1,744.48
480,908999,101262,Bateria,1,427.4
480,904300,101323,Teclado,1,100.4
480,898473,100291,Teclado,1,93.41
480,898374,100498,Bateria,1,175.46
480,897875,100745,Bateria,1,315.45
480,892198,101262,Bateria,1,411.91
480,888227,100745,Bateria,1,304.59
480,885023,100499,Bateria,1,149.51
480,879352,101262,Bateria,1,411.77
480,859013,100588,Bateria,1,162.71
480,864226,100705,Bateria,1,238.29
480,852455,101262,Bateria,1,427.63
480,856681,121465,Tela,1,639.88
480,856750,101262,Bateria,1,381.56
480,858336,100810,Teclado,1,76.73
480,857474,100745,Bateria,1,332.45
480,868684,101262,Bateria,1,408.64
480,867933,100063,Tela,1,302.79
480,866916,100101,Tela,1,411.03
480,866916,100728,Teclado,2,82.22
480,870875,100101,Tela,1,401.22
480,981391,100688,Bateria,1,192.16
480,983965,100097,Tela,1,428.46
480,972270,101262,Bateria,1,356.44
480,971515,100810,Teclado,1,140.94
480,971987,100707,Bateria,1,142.05
480,972280,100503,Bateria,1,184.95
480,984676,101262,Bateria,1,348.17
480,989126,101262,Bateria,1,369.53
480,1001946,101262,Bateria,1,375.97
480,1011792,121293,Teclado,1,159.5
480,1006323,100732,Bateria,1,159.37
480,1017340,101323,Teclado,1,151.12
480,1015888,100761,Bateria,1,229.51
480,1015364,101262,Bateria,1,336.65
480,1015073,100367,Teclado,1,151.26
480,1013832,100285,Teclado,1,62.15
480,1013832,101512,Cooler,2,304.97
480,1013424,126919,Bateria,3,253.84
480,1012429,101262,Bateria,1,369.24
480,1021095,126919,Bateria,1,253.84
480,1029707,126918,Bateria,1,171.63
480,1030276,126924,Bateria,1,301.46
480,1027362,126917,Bateria,1,138.76
480,1027362,100289,Teclado,2,47.56
480,1025623,126924,Bateria,1,301.46
480,1024839,100101,Tela,1,354.15
486,877204,100501,Bateria,1,285.0
486,857799,100369,Teclado,1,72.5
486,858136,101262,Bateria,1,702.98
486,858136,100215,Tela,2,652.07
486,863021,100810,Teclado,1,65.5
486,898244,100745,Bateria,1,292.31
486,908976,100708,Bateria,1,177.5
486,948984,100699,Bateria,1,180.0
486,948160,121465,Tela,1,589.5
486,927546,100499,Bateria,1,125.92
486,933397,100059,Tela,1,538.24
486,919760,121518,Tela,1,679.67
486,915029,100097,Tela,1,604.98
490,1007363,121465,Tela,1,381.1
498,922733,100820,Teclado,1,336.25
498,922733,101000,Teclado,2,396.18
501,913703,100497,Bateria,1,147.02
501,953318,101262,Bateria,1,327.77
501,942572,100497,Bateria,1,141.29
501,960524,100505,Bateria,1,163.06
501,974971,100820,Teclado,1,56.17
501,974971,124882,Fonte,2,121.94
501,974971,123112,Placa,3,58.64
501,1024884,100094,Tela,1,504.82
501,1024884,101001,Teclado,2,59.56
512,951586,100694,Bateria,1,170.06
512,966646,100097,Tela,1,428.99
512,966646,100764,Bateria,2,162.18
512,881720,121465,Tela,1,707.78
512,882165,100097,Tela,1,605.27
512,869492,100097,Tela,1,631.11
512,868241,100059,Tela,1,543.66
517,868015,100675,Teclado,1,71.09
517,868015,100097,Tela,2,629.36
517,868015,100681,Bateria,3,171.95
517,868015,101019,Cooler,4,40.57
517,878154,100499,Bateria,1,137.23
517,878154,100336,Teclado,2,65.77
517,878154,100679,Bateria,3,127.32
517,872741,100063,Tela,1,283.78
517,872741,100097,Tela,2,618.04
517,872741,122806,SSD,3,411.68
517,874001,101000,Teclado,1,83.2
517,874001,100354,Teclado,2,53.73
517,874001,121295,Bateria,3,289.11
517,874001,100063,Tela,4,294.01
517,874001,101019,Cooler,5,20.63
517,857785,100097,Tela,1,1199.2
517,857785,100337,Teclado,2,56.06
517,855062,100820,Teclado,1,139.66
517,855062,100600,Cooler,2,89.16
517,855062,101323,Teclado,3,79.0
517,855062,100336,Teclado,4,64.43
517,863179,101323,Teclado,1,74.09
517,863179,121293,Teclado,2,97.16
517,863179,122806,SSD,3,421.12
517,859128,100681,Bateria,1,175.39
517,859128,100215,Tela,2,680.71
517,883938,100289,Teclado,1,51.16
517,883938,100101,Tela,2,382.88
517,883938,100059,Tela,3,531.61
517,883938,101018,Cooler,4,16.81
517,883938,101019,Cooler,5,18.85
517,883938,122806,SSD,6,688.24
517,888064,100291,Teclado,1,70.33
517,888064,101000,Teclado,2,175.06
517,888064,100938,Teclado,3,77.57
517,905640,100276,Teclado,1,110.54
517,905640,100810,Teclado,2,119.04
517,905640,100097,Tela,3,582.82
517,905640,122806,SSD,4,243.04
517,905640,101018,Cooler,5,27.72
517,959681,101107,Placa,1,342.6
517,959681,100097,Tela,2,811.59
517,959681,101019,Cooler,3,38.72
517,954088,100284,Teclado,1,60.35
517,954088,100681,Bateria,2,151.76
517,954088,101018,Cooler,3,50.73
517,954088,101000,Teclado,4,68.12
517,916529,101018,Cooler,1,59.39
