,carat,cut,color,clarity,depth,table,x,y,z,grp_clarity,grp_color,grp_cut,log_carat,log_carat_menor_2,log_carat_maior_2,dist_carat,grade,IFDIdeal,SI1DPremium,SI1HIdeal,SI2FIdeal,SI2FPremium,SI2GGood,SI2GIdeal,SI2GPremium,SI2GVery Good,VS2DIdeal,VS2DPremium,VS2GIdeal,VS2IIdeal,VVS1DIdeal,VVS1EIdeal,VVS2DIdeal,color_D,clarity_SI2,grp_cla_I,grp_cla_IF,grp_cla_SI,grp_cla_VS,grp_cla_VVS,grp_col_Colorless,grp_col_Near Colorless,grp_col_Tinted,grp_cut_Fair,grp_cut_Good,grp_cut_Ideal,grp_cut_Very Good/Premium,price_predicted
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,VS,Colorless,Ideal,-1.3862943611198906,-1.3862943611198906,0.0,-0.75,VS1GIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,447.6516616110453
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,VS,Colorless,Ideal,-1.2039728043259361,-1.2039728043259361,0.0,-0.7,VS1FIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,627.0676571943972
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,IF,Colorless,Very Good/Premium,0.23111172096338664,0.23111172096338664,0.0,-0.74,IFFVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,12298.655519469226
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,VS,Tinted,Ideal,0.131028262406404,0.131028262406404,0.0,-0.8600000000000001,VS1JIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,True,False,5256.072560560261
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,SI,Near Colorless,Very Good/Premium,0.412109650826833,0.412109650826833,0.0,-0.49,SI1HPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,True,8509.206713865857
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,SI,Colorless,Very Good/Premium,-0.6733445532637656,-0.6733445532637656,0.0,-0.49,SI2EVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,False,False,False,True,1173.2171995962055
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,IF,Colorless,Ideal,-1.1394342831883648,-1.1394342831883648,0.0,-0.6799999999999999,IFGIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False,False,True,False,960.0781760211764
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,SI,Colorless,Very Good/Premium,-0.06187540371808753,-0.06187540371808753,0.0,-0.06000000000000005,SI2EPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,False,False,False,True,3523.6435267971233
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,VS,Colorless,Very Good/Premium,-0.6733445532637656,-0.6733445532637656,0.0,-0.49,VS2EPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,True,1603.9446069383255
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,SI,Near Colorless,Ideal,0.11332868530700327,0.11332868530700327,0.0,-0.8799999999999999,SI2HIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,True,False,False,False,True,False,4588.873211381857
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,SI,Colorless,Very Good/Premium,0.28517894223366247,0.28517894223366247,0.0,-0.6699999999999999,SI2GPremium,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,False,False,False,True,6547.937950034917
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,VS,Near Colorless,Very Good/Premium,-1.1394342831883648,-1.1394342831883648,0.0,-0.6799999999999999,VS2HPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,True,561.4869143355083
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,VS,Colorless,Ideal,-0.35667494393873245,-0.35667494393873245,0.0,-0.30000000000000004,VS2EIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,2944.8165912404884
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,VVS,Near Colorless,Ideal,0.30010459245033816,0.30010459245033816,0.0,-0.6499999999999999,VVS1HIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,True,False,10400.294840473822
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,VS,Colorless,Good,-1.4696759700589417,-1.4696759700589417,0.0,-0.77,VS2FGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,True,False,False,353.3134816303542
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,I,Colorless,Very Good/Premium,-0.10536051565782628,-0.10536051565782628,0.0,-0.09999999999999998,I1FVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False,True,2085.9180712908487
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,SI,Colorless,Ideal,0.02955880224154443,0.02955880224154443,0.0,-0.97,SI1DIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,True,False,False,True,False,False,False,False,True,False,5949.812153488508
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,SI,Colorless,Good,0.01980262729617973,0.01980262729617973,0.0,-0.98,SI2EGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,False,True,False,False,4360.172405631943
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,VVS,Near Colorless,Ideal,-0.5978370007556204,-0.5978370007556204,0.0,-0.44999999999999996,VVS2HIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,True,False,1877.2731916218206
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,IF,Colorless,Ideal,-1.0788096613719298,-1.0788096613719298,0.0,-0.6599999999999999,IFEIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False,False,True,False,1073.5126382391861
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,VVS,Colorless,Very Good/Premium,-0.342490308946776,-0.342490308946776,0.0,-0.29000000000000004,VVS2DPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,True,True,False,False,False,False,False,True,3775.445826609544
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,SI,Colorless,Good,-0.5978370007556204,-0.5978370007556204,0.0,-0.44999999999999996,SI1GGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,True,False,False,1468.8625130116693
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,VS,Colorless,Ideal,-0.616186139423817,-0.616186139423817,0.0,-0.45999999999999996,VS2GIdeal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,1669.529246968221
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,IF,Near Colorless,Ideal,0.20701416938432612,0.20701416938432612,0.0,-0.77,IFHIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False,False,True,False,10040.441169846747
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,VVS,Colorless,Very Good/Premium,-1.3093333199837622,-1.3093333199837622,0.0,-0.73,VVS1EPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,False,False,False,False,True,597.8047113337199
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,VS,Colorless,Ideal,-0.6348782724359695,-0.6348782724359695,0.0,-0.47,VS2DIdeal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,False,False,False,True,False,True,False,False,False,False,True,False,1960.9906073758557
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,SI,Colorless,Ideal,0.22314355131420976,0.22314355131420976,0.0,-0.75,SI2GIdeal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,False,False,True,False,6141.897916475695
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,VVS,Colorless,Ideal,-1.0788096613719298,-1.0788096613719298,0.0,-0.6599999999999999,VVS2EIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,False,False,False,True,False,946.5686267910819
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,VS,Near Colorless,Very Good/Premium,-1.0216512475319814,-1.0216512475319814,0.0,-0.64,VS2IPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,True,697.4447214379686
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,SI,Colorless,Ideal,-1.0788096613719298,-1.0788096613719298,0.0,-0.6599999999999999,SI1GIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,False,True,False,661.4404276198808
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,SI,Colorless,Good,0.11332868530700327,0.11332868530700327,0.0,-0.8799999999999999,SI1EGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,True,False,False,5883.159563369104
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,VS,Near Colorless,Ideal,-1.2039728043259361,-1.2039728043259361,0.0,-0.7,VS1HIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,True,False,515.8297395936634
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,SI,Colorless,Ideal,-1.0216512475319814,-1.0216512475319814,0.0,-0.64,SI1DIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,True,False,False,True,False,False,False,False,True,False,792.8956756355311
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,VVS,Colorless,Ideal,-0.342490308946776,-0.342490308946776,0.0,-0.29000000000000004,VVS1FIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,False,False,False,True,False,3620.565768261286
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,VS,Colorless,Very Good/Premium,-1.1394342831883648,-1.1394342831883648,0.0,-0.6799999999999999,VS2GPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,True,682.5707338918295
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,VS,Colorless,Very Good/Premium,-0.6931471805599453,-0.6931471805599453,0.0,-0.5,VS2EPremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,True,1547.115427786049
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,SI,Colorless,Very Good/Premium,-0.6733445532637656,-0.6733445532637656,0.0,-0.49,SI1EVery Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,1343.2843371088602
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,VS,Tinted,Ideal,-0.5447271754416722,-0.5447271754416722,0.0,-0.42000000000000004,VS1JIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,True,False,1401.0247937753818
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,IF,Colorless,Ideal,-1.2039728043259361,-1.2039728043259361,0.0,-0.7,IFFIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False,False,True,False,852.3332140707944
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,VVS,Colorless,Ideal,-0.941608539858445,-0.941608539858445,0.0,-0.61,VVS1GIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,False,False,False,True,False,1218.0772681254944
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,VS,Colorless,Ideal,-1.171182981502945,-1.171182981502945,0.0,-0.69,VS2FIdeal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,666.1747316980918
